worlwide_gross_income
8811
9183673
26916
11233
26916
121107
4841
746
26916
1005
46008
85204
1626
16615
4072
1600
651
6750
3299
10493
2375
2493
457688
4961
3765
155895
6662
184925486
11180
10360
9636
402352579
3444
144738
26142032
16161
76411401
969879
3424
121892045
72275
1594107
3731
1255
6192
16364924
10249
420
4374761
15392
76019048
13886
23656620
485932
9635
16172
10128
19000
22356
5434
20428771
6130720
15293
113061
64636
6789
16444
428978
10046
215295
16
5534
150438
29868
95126535
6713
17322
46808
299645
51357
272619
2300000
31805
101486
49523
2025
36000000
3188
1864182
24476
14537
36416
648
10158
23750000
10831
162373
87404651
36000000
21750000
18816
562711
3373
37032034
8757
4348890
10813
7178
93933394
30330
2001
15520
199963
7652
10714
42000000
32855818
1861
4236
8190
65500000
576
3867
27200000
6344
2580
5252
9755
230571
7704
7693
4006
49454
1501
5066
67740
28594
458000
2286947
7796389
74427638
73446
51600000
83169282
9749
8892
177066
24296
32008644
1844789
40356000
5902
357750
12180
216026182
100665
44061777
16068461
6388
76729
45710874
4631
2757256
4139
599146
24517
32655
173057
57777778
9443876
24808046
227940
742
46332858
920144
12000000
106074
149327
10980
51160174
2360561
8869
7095
103082283
72661442
3942
13063
10721
14516248
47696
964028
126724
111918564
20807
15000000
134722
33174
159413574
63595658
6066
25252481
509
95209
28005068
64675
2324
105015008
56666667
11000000
11159
27669
210310084
45075
65232
17380
43084787
68989547
509
9439
511350
398
3110000
52224263
18177
236452
44527234
10631
32599045
375143
43050
148503
102310639
112911
123276
400881
113867
44801177
22787885
14500000
1729
33725
5050000
7100000
638641
100489151
35459543
18999718
2695
400747
19319254
5200000
31559552
106550690
81600000
14000000
61749765
19773
8358
2437000
83827
6979
136200
26903440
43819547
35976000
12348905
10404330
51700000
2735
34050
29146131
38403
280710
10600000
160468
12442673
108522
527081
37041
22482
6443
15930
9043472
4534
18090065
4121
9588
246120974
15706540
84563118
10595
66000000
115000000
54396
8844595
2300000
108000
40821
441306145
35377836
21619
41131
53267000
7717
29829963
18344729
156000000
36179290
98201
6320
18600000
39552000
119601481
18698
29225935
4432180
22000000
14480
79666653
48035783
20563273
43008075
20972000
41833347
7504841
30859000
21700000
116000000
86273333
