feature,importance
year,0.0026669905055314302
duration,0.0041352068074047565
votes,0.015619052574038506
budget,0.005592061206698418
day,0.0011687042424455285
language_English,0.008487235754728317
language_Spanish,0.0004624860594049096
language_French,0.000615954864770174
language_Russian,0.0007182566332630813
language_German,0.002832840196788311
language_Italian,0.0016924816882237792
language_Japanese,0.0009029097273014486
language_Mandarin,0.001749582588672638
language_Arabic,0.0009352226043120027
language_Korean,0.004812016151845455
language_Cantonese,0.0024071144871413708
language_Turkish,0.006861593574285507
language_Latin,0.001314853085204959
language_Hindi,0.008478783071041107
language_Hebrew,0.0027532766107469797
language_Chinese,0.0025914725847542286
language_Polish,0.004322870168834925
language_Hungarian,0.005578247364610434
language_Thai,0.000629719696007669
language_Vietnamese,0.0017674159025773406
language_Dutch,0.0022243347484618425
language_Afrikaans,0.005262719001621008
language_Czech,0.004487366881221533
genre_Drama,0.07979583740234375
genre_Comedy,0.002609670627862215
genre_Action,0.007528054062277079
genre_Crime,0.0015551542164757848
genre_Romance,0.0020101594273000956
genre_Adventure,0.004562546964734793
genre_Thriller,0.001504211570136249
genre_Horror,0.012059659697115421
genre_Mystery,0.001813083770684898
genre_Fantasy,0.004605069290846586
genre_Sci-Fi,0.006002911366522312
genre_Family,0.0031039840541779995
genre_Biography,0.020958026871085167
genre_Animation,0.009433970786631107
genre_History,0.0031313602812588215
genre_Music,0.0016823329497128725
genre_Sport,0.0014249482192099094
genre_War,0.0010713275987654924
genre_Musical,0.0033360770903527737
genre_Western,0.0015707950806245208
genre_Documentary,0.000796227774117142
country_USA,0.013213436119258404
country_UK,0.0019225288415327668
country_France,0.0029967722948640585
country_Canada,0.0009988165693357587
country_Germany,0.002009101677685976
country_China,0.0011711744591593742
country_Japan,0.005275083240121603
country_Russia,0.006773271132260561
country_Mexico,0.002543412847444415
country_Australia,0.00047380427713505924
country_Hong Kong,0.004573920276015997
country_Spain,0.000763291260227561
country_India,0.0019513790030032396
country_South Korea,0.002948981476947665
country_Belgium,0.0035903051029890776
country_Turkey,0.012921769171953201
country_Ireland,0.001587756210938096
country_South Africa,0.0017865569097921252
country_Sweden,0.0025581747759133577
country_New Zealand,0.0018536843126639724
country_Czech Republic,0.0007599036325700581
country_Netherlands,0.002067569177597761
country_Switzerland,0.00034778896952047944
country_Poland,0.004382869694381952
director_Woody Allen,0.004321248736232519
director_Steven Soderbergh,8.220450399676338e-05
director_Joel Schumacher,0.005384612828493118
director_Brian De Palma,0.0011852855095639825
director_Rob Reiner,0.0008627110510133207
