feature,importance
writer_Charles Leavitt,0.0014030425809323788
writer_Aline Brosh McKenna,0.0006631962023675442
writer_Dan Fogelman,0.0003371071070432663
writer_Jonathan Aibel,0.0030228104442358017
writer_Akira Kurosawa,0.0003760309482458979
writer_Marshall Brickman,0.00014633673708885908
writer_David Lynch,0.0004241815477143973
writer_Cameron Crowe,0.0005981760332360864
writer_Roland Emmerich,0.0024171543773263693
writer_Andrew Niccol,0.0008370509021915495
writer_Darren Aronofsky,0.0010879416950047016
writer_Phil Hay,0.0005714347353205085
writer_Ken Daurio,0.007044639904052019
writer_Robert Ben Garant,0.0008818177157081664
writer_Dan Gilroy,0.0006694777403026819
writer_Seth Rogen,0.0006774586508981884
writer_Bruce Joel Rubin,0.0015699121868237853
writer_Amy Holden Jones,0.0008268241072073579
writer_Jim Cash,0.0007780207088217139
writer_Lorne Cameron,0.0006303630652837455
writer_Bill Condon,0.0003827394393738359
writer_Roger Avary,0.0007111816667020321
writer_Scott Rosenberg,0.0003928197838831693
writer_Don Rhymer,0.0011456896318122745
writer_Shawn Wayans,0.000557126069907099
writer_Marlon Wayans,0.0005726713570766151
writer_Simon Beaufoy,0.0008787269471213222
writer_Charlie Kaufman,0.00118227768689394
writer_Nia Vardalos,0.001815826864913106
writer_Jeff Nathanson,0.0038314638659358025
writer_Guy Ritchie,0.0011201876914128661
writer_Noah Baumbach,0.0006199728813953698
writer_Melissa Rosenberg,0.007865156047046185
writer_Peter Craig,0.0007058313931338489
writer_Gary Dauberman,0.003325173631310463
writer_Steven Rogers,1.6234926079050638e-05
writer_Cornell Woolrich,4.700493082054891e-05
writer_Melissa Mathison,0.003428310388699174
writer_Michael Schiffer,0.0002990804787259549
writer_William Davies,0.0004442850477062166
writer_Caroline Thompson,0.00047590481699444354
writer_Linda Woolverton,0.0048383972607553005
writer_Joss Whedon,0.0010021573398262262
writer_Matt Reeves,0.0005905453581362963
writer_Tab Murphy,0.0007762383902445436
writer_Chris Weitz,0.0005987967015244067
writer_J. David Stem,0.0011168234050273895
writer_Michael McCullers,0.002337768906727433
writer_Abby Kohn,0.00011805971735157073
writer_Alex Garland,0.000693985668476671
writer_Ol Parker,0.00043296226067468524
writer_Michael Bacall,0.0005931121413595974
writer_Mark L. Smith,0.0007698039407841861
writer_Chris McKenna,0.0016129696741700172
writer_Oren Peli,0.0010654872749000788
company_Universal Pictures,0.01444489136338234
company_Warner Bros.,0.002839455846697092
company_Columbia Pictures,0.0007882143836468458
company_Paramount Pictures,0.0070709469728171825
company_Twentieth Century Fox,0.001087118056602776
company_New Line Cinema,0.0009165116935037076
company_Metro-Goldwyn-Mayer (MGM),0.0006492394604720175
company_Touchstone Pictures,0.0008738797623664141
company_Walt Disney Pictures,0.003712860867381096
company_Screen Gems,0.0009484082111157477
company_Summit Entertainment,0.0012707420391961932
company_Fox 2000 Pictures,0.0009774597128853202
company_Focus Features,0.0011363683734089136
company_DreamWorks Animation,0.015533315017819405
company_Walt Disney Animation Studios,0.0007988074794411659
company_Walt Disney Productions,0.0005265451618470252
company_Eon Productions,0.002116620074957609
company_Carolco Pictures,0.0006722407997585833
company_Blumhouse Productions,0.0010565605480223894
company_Jack Rollins & Charles H. Joffe Productions,1.620069997443352e-05
company_Amblin Entertainment,0.00033434698707424104
company_Lucasfilm,0.018541943281888962
company_Golden Harvest Company,0.0019255230436101556
company_Icon Entertainment International,0.0006225839024409652
company_Twisted Pictures,0.0005970822530798614
company_Bona Film Group,0.0007222553831525147
company_Disney Television Animation,0.0008333123987540603
company_Icon Productions,0.0016503974329680204
company_Blue Sky Studios,0.0018133483827114105
actor_Tom Hanks,0.0006932597607374191
actor_John Cusack,0.00045309014967642725
actor_Johnny Depp,0.002082690130919218
actor_Harrison Ford,0.012536915019154549
actor_Robin Williams,0.0005624339100904763
actor_Julianne Moore,0.0030936955008655787
actor_John Travolta,0.00397908128798008
actor_Tom Cruise,0.0028260648250579834
actor_Eddie Murphy,0.0030494912061840296
actor_Mel Gibson,0.0008103274158202112
actor_Matt Damon,0.0006462845485657454
actor_Val Kilmer,0.0005984214367344975
actor_John Goodman,0.0016786981141194701
actor_Antonio Banderas,0.005830459296703339
actor_Julia Roberts,0.004071773961186409
actor_Brad Pitt,0.0009624300291761756
actor_Ewan McGregor,0.0004982597311027348
actor_Al Pacino,0.0015457223635166883
actor_Kevin Costner,0.0035709345247596502
actor_Richard Gere,0.0005337480106391013
actor_Adam Sandler,0.0014516134979203343
actor_Michael Douglas,0.004884845577180386
actor_Michael Keaton,0.006704607978463173
actor_Christian Bale,0.0006137273157946765
actor_Pierce Brosnan,0.001370930694974959
actor_Sandra Bullock,0.003579141804948449
actor_Charlize Theron,0.0011335383169353008
actor_Jason Statham,0.013145395554602146
actor_Dustin Hoffman,0.002558681881055236
actor_Ben Stiller,0.0024963633622974157
actor_Jack Black,0.010416594333946705
actor_Will Ferrell,0.001251061214134097
actor_Dwayne Johnson,0.006802132818847895
actor_James Woods,0.0004742188029922545
actor_Russell Crowe,0.001093657105229795
actor_George Clooney,0.001349516911432147
actor_Will Smith,0.000772748317103833
actor_Steve Carell,0.0008315367740578949
actor_Cameron Diaz,0.0010237129172310233
actor_Rosario Dawson,0.0007791685638949275
actor_Jake Gyllenhaal,0.0012500445591285825
actor_Sam Rockwell,0.0008095923694781959
actor_Robert Redford,0.0014987422619014978
actor_Vincent D'Onofrio,0.00562903331592679
actor_Leonardo DiCaprio,0.0026402033399790525
actor_Paul Rudd,0.0013980367220938206
actor_Bradley Cooper,0.0005175109254196286
actor_Hugh Jackman,0.0014108869945630431
actor_Bill Paxton,0.0033739234786480665
actor_Tom Sizemore,0.0003786054439842701
actor_Vince Vaughn,0.0013296044198796153
actor_Guy Pearce,0.0010509762214496732
actor_Emily Blunt,0.0017041037790477276
actor_Idris Elba,0.002305352594703436
actor_Jennifer Connelly,0.0009355799993500113
actor_Renée Zellweger,0.002567203715443611
actor_Joseph Gordon-Levitt,0.00044044110109098256
actor_Jude Law,0.0012718122452497482
actor_Amy Adams,0.0004472647269722074
actor_James McAvoy,0.016852067783474922
actor_Demi Moore,0.0020126234740018845
actor_Tom Wilkinson,0.000818692846223712
